timestamp_s,roll_deg,pitch_deg,yaw_deg
117.388233,-10.173422,-81.394832,-154.744779
117.398448,-9.879204,-81.304598,-154.541923
117.408697,-9.741165,-81.294571,-154.437544
117.418936,-9.847387,-81.241999,-154.667872
117.428899,-10.615233,-81.235272,-155.383430
117.439064,-10.795908,-81.203347,-155.736523
117.449279,-11.309320,-81.099358,-156.279195
117.469783,-10.965745,-80.834920,-155.866269
117.480023,-10.673525,-80.895948,-155.510252
117.490263,-10.406554,-80.877083,-155.294842
117.500503,-10.458787,-81.080547,-155.309377
117.510743,-10.842843,-81.188710,-155.829919
117.520983,-11.552923,-81.411969,-156.652766
117.531197,-12.151437,-81.479055,-157.484341
117.541110,-12.548213,-81.580394,-157.937278
117.551375,-12.398264,-81.413177,-157.883975
117.561615,-12.767945,-81.450382,-158.179791
117.571829,-11.887107,-81.220136,-157.339691
117.582095,-11.302231,-81.216468,-156.545682
117.592289,-10.800588,-81.307467,-156.136335
117.602468,-11.176820,-81.645930,-156.746093
117.622973,-11.711584,-82.226578,-157.794746
117.643454,-10.650410,-81.849504,-156.516626
117.653693,-10.378810,-81.757952,-156.039701
117.663933,-11.411915,-81.910408,-157.153022
117.684438,-12.107936,-82.171506,-158.190186
117.694350,-9.892761,-82.107330,-155.695637
117.704565,-8.047185,-81.959531,-153.438847
117.714805,-7.306874,-82.189196,-152.532153
117.725045,-6.789675,-82.437631,-152.129609
117.735310,-6.846492,-82.901209,-152.204099
117.755790,-6.505496,-83.386419,-151.843465
117.765960,-6.987576,-83.292292,-152.365702
117.776185,-6.799362,-83.401978,-152.113285
117.796313,-5.391294,-83.113594,-150.181052
117.806527,-6.233165,-82.892733,-151.125011
117.827032,-4.135618,-83.018572,-148.571149
117.837297,-2.097126,-83.242623,-146.414175
117.847512,0.994411,-83.396603,-143.059583
117.857721,3.251194,-83.494404,-140.601001
117.867951,4.067894,-83.634990,-139.613151
117.878191,4.060223,-83.819685,-139.741504
117.888456,3.663940,-83.952273,-140.203238
117.898368,3.411612,-84.107544,-140.426340
117.908583,3.453086,-84.236901,-140.469684
117.918823,3.170332,-84.327496,-140.676434
117.929038,2.970641,-84.290955,-140.942497
117.939303,4.421998,-84.089608,-139.366171
117.959742,9.697953,-83.711072,-133.331809
117.969982,10.225150,-83.569769,-132.571417
117.980221,10.250956,-83.373858,-132.260671
117.990487,9.843481,-83.172341,-132.343576
118.000701,9.394791,-82.903859,-132.626359
118.010916,9.860393,-82.950516,-131.936059
118.021156,10.386503,-82.846124,-131.411364
118.031421,11.205957,-83.019331,-130.464714
118.041661,10.641531,-82.963439,-131.014558
118.051674,9.248430,-83.019214,-132.344177
118.072053,7.017636,-83.451770,-134.879284
118.082243,7.182167,-83.913628,-135.122780
118.102748,6.064824,-83.903908,-136.355779
