time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1788093671698052000,315.7070520019531,0.16354070603847504,0.13000358641147614,0.6197006106376648,0.7565214037895203,-0.030229762196540833,-1.3712435960769653,-0.45052582025527954
1788093671718532600,315.72753271484373,0.1647612303495407,0.12950372695922852,0.6187864542007446,0.7570903897285461,-0.038910944014787674,-1.3686052560806274,-0.46031123399734497
1788093671728772900,315.73777294921877,0.16514095664024353,0.1290484219789505,0.6185859441757202,0.7572492361068726,-0.043984945863485336,-1.367814540863037,-0.4652926027774811
1788093671738889500,315.74788940429687,0.16527624428272247,0.12877054512500763,0.6186305284500122,0.7572306394577026,-0.04698868468403816,-1.3677527904510498,-0.46809038519859314
1788093671748955000,315.7579548339844,0.16627711057662964,0.1288546621799469,0.6194546222686768,0.7563229203224182,-0.055578868836164474,-1.3697923421859741,-0.478213369846344
1788093671779198000,315.7881979980469,0.16784131526947021,0.12859931588172913,0.6179515719413757,0.7572498321533203,-0.062282681465148926,-1.3657718896865845,-0.4869082570075989
1788093671820209200,315.82920922851565,0.16863739490509033,0.13022464513778687,0.6192560195922852,0.7557281255722046,-0.060343287885189056,-1.369958758354187,-0.4883987605571747
1788093671840664600,315.84966455078126,0.17062163352966309,0.12964890897274017,0.6184970140457153,0.756003201007843,-0.07451444119215012,-1.3675341606140137,-0.5046723484992981
1788093671902106600,315.9111066894531,0.17421014606952667,0.13087300956249237,0.6176571249961853,0.7556604743003845,-0.08567720651626587,-1.3658748865127563,-0.5228784084320068
1788093671953089000,315.9620891113281,0.17788612842559814,0.13071714341640472,0.6172984838485718,0.7551239132881165,-0.10856107622385025,-1.3644165992736816,-0.5509238839149475
1788093672024573200,316.0335732421875,0.18157346546649933,0.13175545632839203,0.6158605217933655,0.7552399635314941,-0.11861032992601395,-1.361087679862976,-0.5679419040679932
1788093672075774500,316.0847744140625,0.1855347752571106,0.13404394686222076,0.6185408234596252,0.7516756653785706,-0.13990192115306854,-1.3685797452926636,-0.5981741547584534
1788093672106495700,316.1154958496094,0.18630880117416382,0.1334836483001709,0.6139589548110962,0.7553314566612244,-0.12816102802753448,-1.356957197189331,-0.5870285630226135
1788093672116736000,316.12573608398435,0.18538063764572144,0.13307413458824158,0.6144086718559265,0.7552663683891296,-0.1271154284477234,-1.3579007387161255,-0.5840058326721191
1788093672137267000,316.1462668457031,0.18754780292510986,0.13419882953166962,0.6156418323516846,0.7535260915756226,-0.1383657604455948,-1.3613286018371582,-0.5999787449836731
1788093672147482000,316.15648217773435,0.18895938992500305,0.1350439339876175,0.6151270866394043,0.7534428238868713,-0.13921646773815155,-1.360465168952942,-0.6041480302810669
1788093672157722400,316.1667224121094,0.18960897624492645,0.13585171103477478,0.61446213722229,0.7536770105361938,-0.13496164977550507,-1.3593547344207764,-0.602051317691803
1788093672208596200,316.21759619140624,0.19256578385829926,0.1362791657447815,0.6155799627304077,0.7519359588623047,-0.15549656748771667,-1.3617960214614868,-0.627472996711731
1788093672249527300,316.25852734375,0.19588325917720795,0.1376478224992752,0.6138762831687927,0.7522225379943848,-0.1589626669883728,-1.3581174612045288,-0.6378904581069946
1788093672290503700,316.2995036621094,0.19495947659015656,0.13991373777389526,0.6146342158317566,0.7514251470565796,-0.14218281209468842,-1.361889362335205,-0.6229780316352844
1788093672310933800,316.31993383789063,0.19744302332401276,0.14038030803203583,0.6158417463302612,0.7496989965438843,-0.16044503450393677,-1.3646457195281982,-0.6454894542694092
1788093672382288400,316.3912883300781,0.1999562680721283,0.1425274759531021,0.6132775545120239,0.7507290244102478,-0.1497650295495987,-1.3597347736358643,-0.6417672634124756
1788093672453726500,316.4627265625,0.2033192366361618,0.14716985821723938,0.614704430103302,0.7477571964263916,-0.14754636585712433,-1.3662055730819702,-0.6511216163635254
1788093672494335000,316.5033349609375,0.20522698760032654,0.1486416906118393,0.6115955710411072,0.7494920492172241,-0.13503524661064148,-1.35960853099823,-0.643751859664917
1788093672504575200,316.5135751953125,0.20460809767246246,0.14833618700504303,0.611758291721344,0.7495890259742737,-0.13393813371658325,-1.3598639965057373,-0.6412895917892456
1788093672514840800,316.5238408203125,0.20469249784946442,0.14870093762874603,0.6122490763664246,0.7490928769111633,-0.1343955099582672,-1.3613145351409912,-0.6423673629760742
1788093672525050000,316.53405004882814,0.20559632778167725,0.1501305252313614,0.6120032072067261,0.748760998249054,-0.12960998713970184,-1.3617095947265625,-0.6409995555877686
1788093672545515300,316.55451538085936,0.20549911260604858,0.15198567509651184,0.6115608811378479,0.7487748265266418,-0.11487497389316559,-1.3621326684951782,-0.6288371682167053
1788093672555428000,316.56442797851565,0.20548312366008759,0.1512921154499054,0.6113309860229492,0.7491073608398438,-0.11826499551534653,-1.3610366582870483,-0.6312142610549927
1788093672586098700,316.5950986328125,0.20713290572166443,0.15296170115470886,0.6123561263084412,0.7474748492240906,-0.1224287897348404,-1.3645591735839844,-0.6401621699333191
1788093672627084800,316.63608471679686,0.20993056893348694,0.1539943814277649,0.6110571622848511,0.7475453615188599,-0.12722405791282654,-1.3618121147155762,-0.6506696939468384
1788093672647590700,316.6565905761719,0.210126593708992,0.15618066489696503,0.6107745170593262,0.7472676634788513,-0.11292408406734467,-1.362862467765808,-0.6398479342460632
1788093672708863200,316.71786328125,0.21174752712249756,0.15903039276599884,0.6116003394126892,0.7455315589904785,-0.10829014331102371,-1.3668915033340454,-0.6416869759559631
1788093672780470000,316.7894699707031,0.21306143701076508,0.16242557764053345,0.6107136607170105,0.7451520562171936,-0.090049609541893,-1.3672821521759033,-0.6303787231445312
1788093672841714000,316.8507138671875,0.21438932418823242,0.16616640985012054,0.6106580495834351,0.7439910173416138,-0.0731687843799591,-1.3699434995651245,-0.620902419090271
1788093672902756900,316.9117568359375,0.2165204882621765,0.16934646666049957,0.6108776330947876,0.7424750328063965,-0.0664529874920845,-1.3727699518203735,-0.6219519972801208
1788093672912972000,316.92197192382815,0.21642251312732697,0.1700507253408432,0.6106114387512207,0.7425616383552551,-0.05975312367081642,-1.3726787567138672,-0.6161507368087769
1788093672923212300,316.93221240234374,0.2168298065662384,0.17007684707641602,0.6102384924888611,0.7427433729171753,-0.06067008897662163,-1.3717551231384277,-0.6177345514297485
1788093672933477600,316.9424775390625,0.2168722152709961,0.17051570117473602,0.6099990010261536,0.7428270578384399,-0.05688904970884323,-1.3715084791183472,-0.6146720051765442
1788093672953958100,316.9629582519531,0.21738259494304657,0.17187823355197906,0.6103995442390442,0.742034375667572,-0.05257907137274742,-1.3735072612762451,-0.613074004650116
1788093672964198400,316.9731984863281,0.2176826149225235,0.17292289435863495,0.6097353100776672,0.7422497868537903,-0.044486094266176224,-1.372666358947754,-0.6069941520690918
1788093672984480800,316.99348071289063,0.21753452718257904,0.1733129322528839,0.6091389656066895,0.7426918148994446,-0.03830469399690628,-1.3715102672576904,-0.6012042164802551
1788093673035707100,317.04470703125,0.21848565340042114,0.17577461898326874,0.6091348528862,0.7418369650840759,-0.027437271550297737,-1.3733258247375488,-0.5953350067138672
1788093673086556200,317.09555615234376,0.21884237229824066,0.179561048746109,0.6098216772079468,0.7402589917182922,-0.0055607943795621395,-1.37784743309021,-0.5794640183448792
1788093673147929300,317.1569294433594,0.21778127551078796,0.18210850656032562,0.6074261665344238,0.7419172525405884,0.02884046360850334,-1.3737013339996338,-0.5473852157592773
1788093673208842800,317.2178427734375,0.21760906279087067,0.18479357659816742,0.6069827079772949,0.7416667938232422,0.050973646342754364,-1.374436855316162,-0.5289562344551086
1788093673269961500,317.27896142578123,0.21917873620986938,0.18716034293174744,0.6073215007781982,0.7403325438499451,0.056621480733156204,-1.3770136833190918,-0.5290724635124207
1788093673300204300,317.3092043457031,0.21894845366477966,0.1903897076845169,0.6073387265205383,0.7395626902580261,0.08232098072767258,-1.379198431968689,-0.5077608823776245
1788093673310419500,317.31941943359374,0.21820151805877686,0.19061939418315887,0.6071286201477051,0.7398967742919922,0.08983084559440613,-1.378730058670044,-0.4994969964027405
1788093673320659700,317.32965966796877,0.21802327036857605,0.19067902863025665,0.6072033047676086,0.7398726344108582,0.09131080657243729,-1.3789359331130981,-0.497834712266922
1788093673330925300,317.33992529296876,0.2181408852338791,0.191205233335495,0.6078024506568909,0.7392098903656006,0.09284573048353195,-1.3808085918426514,-0.49720093607902527
1788093673341115100,317.350115234375,0.21886441111564636,0.19213293492794037,0.6073404550552368,0.739135205745697,0.09614469110965729,-1.380327582359314,-0.4963683485984802
1788093673351355400,317.36035546875,0.21841058135032654,0.19251561164855957,0.6066039204597473,0.7397744655609131,0.10417535156011581,-1.3786417245864868,-0.4882814884185791
1788093673361621000,317.37062109375,0.21806944906711578,0.19261282682418823,0.6059242486953735,0.7404065132141113,0.10899242013692856,-1.3769289255142212,-0.48315250873565674
1788093673422614300,317.4316142578125,0.2192513346672058,0.19583551585674286,0.6057997345924377,0.7393131852149963,0.12570177018642426,-1.3788031339645386,-0.47293367981910706
1788093673452957400,317.46195751953127,0.21912263333797455,0.19649551808834076,0.6066601872444153,0.738470196723938,0.12966704368591309,-1.3813791275024414,-0.4696822762489319
1788093673493897500,317.5028974609375,0.22128932178020477,0.2009575366973877,0.6081295013427734,0.7354084849357605,0.14610187709331512,-1.388261318206787,-0.462909072637558
1788093673545098800,317.5540986328125,0.21848753094673157,0.20210950076580048,0.6059778332710266,0.7377030253410339,0.17965707182884216,-1.3827972412109375,-0.4270571172237396
1788093673616582700,317.6255827636719,0.2179618924856186,0.204143226146698,0.6061781644821167,0.7371337413787842,0.19932493567466736,-1.38429856300354,-0.4095902740955353
1788093673698504700,317.7075046386719,0.2164355218410492,0.20758704841136932,0.606279194355011,0.7365384101867676,0.2380363643169403,-1.3858942985534668,-0.3736872673034668
1788093673708745000,317.71774487304685,0.21725209057331085,0.2083410620689392,0.6070969104766846,0.7354106903076172,0.23765578866004944,-1.3886443376541138,-0.37632742524147034
1788093673719010300,317.72801025390623,0.2181473672389984,0.20907817780971527,0.6063184142112732,0.735578715801239,0.23818019032478333,-1.387287974357605,-0.37827497720718384
1788093673729140200,317.73814013671876,0.21758371591567993,0.20911993086338043,0.6048186421394348,0.736967146396637,0.24393819272518158,-1.3832522630691528,-0.3718585669994354
1788093673739295200,317.7482951660156,0.21685878932476044,0.20931315422058105,0.6033084988594055,0.7383624315261841,0.2517499327659607,-1.3792099952697754,-0.36337628960609436
1788093673749460000,317.7584599609375,0.2158823013305664,0.20941585302352905,0.6033637523651123,0.7385742664337158,0.2591255009174347,-1.379067301750183,-0.35470259189605713
1788093673759423500,317.7684235839844,0.21541264653205872,0.20985861122608185,0.6041408777236938,0.7379502058029175,0.2653796970844269,-1.3811137676239014,-0.3483462333679199
1788093673820840000,317.82983984375,0.21548524498939514,0.21254564821720123,0.6048220992088318,0.7366007566452026,0.2865713834762573,-1.3841156959533691,-0.33117806911468506
1788093673841134800,317.850134765625,0.2163645476102829,0.21162107586860657,0.6028835773468018,0.7381966710090637,0.27387699484825134,-1.379023790359497,-0.3439592719078064
1788093673891671600,317.9006716308594,0.21651382744312286,0.21480685472488403,0.6032575368881226,0.7369261384010315,0.29859885573387146,-1.3814624547958374,-0.32413798570632935
1788093673932305400,317.9413054199219,0.21496081352233887,0.2159799486398697,0.604169487953186,0.7362905144691467,0.318764865398407,-1.383670449256897,-0.3033379018306732
1788093673973241300,317.9822414550781,0.21538908779621124,0.2179938554763794,0.6042483448982239,0.7355067133903503,0.33269771933555603,-1.3848645687103271,-0.2930137813091278
1788093674044122400,318.0531223144531,0.21541790664196014,0.2187274992465973,0.6007993221282959,0.7381013035774231,0.3376578092575073,-1.3762587308883667,-0.28945818543434143
1788093674105517300,318.1145173339844,0.2166469842195511,0.22100649774074554,0.6020767688751221,0.7360188364982605,0.34864094853401184,-1.3809882402420044,-0.2835683822631836
1788093674115757800,318.1247578125,0.21691995859146118,0.22176042199134827,0.6010398864746094,0.7365589737892151,0.35261058807373047,-1.3787260055541992,-0.28120502829551697
1788093674125998000,318.134998046875,0.21593651175498962,0.22222353518009186,0.6003056168556213,0.7373067736625671,0.36241164803504944,-1.3765382766723633,-0.27069538831710815
1788093674136263400,318.1452634277344,0.21522891521453857,0.22251306474208832,0.6005986332893372,0.7371876835823059,0.369511216878891,-1.377052664756775,-0.2629542350769043
1788093674146478600,318.155478515625,0.21550503373146057,0.2225109040737152,0.5995595455169678,0.7379531860351562,0.3670579791069031,-1.3745132684707642,-0.26589882373809814
1788093674156718800,318.16571875,0.21572451293468475,0.2222852259874344,0.5983924865722656,0.7389036417007446,0.3631797730922699,-1.3715373277664185,-0.26986396312713623
1788093674217962000,318.2269619140625,0.21602477133274078,0.22376573085784912,0.5993943810462952,0.7375558018684387,0.3737708032131195,-1.374786615371704,-0.2618309557437897
1788093674248682800,318.25768286132814,0.21481232345104218,0.22516785562038422,0.5974164009094238,0.7390864491462708,0.3909946382045746,-1.3695709705352783,-0.24506205320358276
1788093674258799400,318.26779931640624,0.2139875441789627,0.2253485471010208,0.5961944460868835,0.7402564287185669,0.39630410075187683,-1.366072416305542,-0.23890605568885803
1788093674299485000,318.30848486328125,0.21322055160999298,0.2256193906068802,0.5968194603919983,0.7398914694786072,0.40365779399871826,-1.3673529624938965,-0.2307666540145874
1788093674360728000,318.36972802734374,0.2114373743534088,0.22657887637615204,0.5958922505378723,0.7408567070960999,0.42071977257728577,-1.3643035888671875,-0.2125750482082367
1788093674411929600,318.4209296875,0.21065753698349,0.22797371447086334,0.5973575115203857,0.7394696474075317,0.438296377658844,-1.367985486984253,-0.1957945078611374
