=> creating output\cityscapes\pidnet_small_cityscapes
=> creating log\cityscapes\pidnet_small\pidnet_small_cityscapes_2026-08-31-01-00
[*] Loading ImageNet-pretrained backbone from 'models/PIDNet/pretrained_models/imagenet/PIDNet_S_ImageNet.pth.tar'
C:\Users\anura\Desktop\research_2wadas\aurora-2w\models\PIDNet\models\aurora2w.py:270: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  pretrained_state = torch.load(cfg.MODEL.PRETRAINED, map_location='cpu')['state_dict']
Attention!!!
Loaded 302 parameters!
Over!!!
[*] Starting AuRoRA-2W Synthetic Roll Training Loop with AMP...
[*] Set to train for 20 epochs.

--- Epoch 1/20 ---
[Iter 1220/1487] LR: 0.009985 | Loss: 3.5335
[Iter 1230/1487] LR: 0.009985 | Loss: 3.7766
[Iter 1240/1487] LR: 0.009984 | Loss: 4.6166
[Iter 1250/1487] LR: 0.009984 | Loss: 1.2184
[Iter 1260/1487] LR: 0.009984 | Loss: 3.4497
[Iter 1270/1487] LR: 0.009984 | Loss: 2.9471
[Iter 1280/1487] LR: 0.009984 | Loss: 3.7131
[Iter 1290/1487] LR: 0.009984 | Loss: 2.9918
[Iter 1300/1487] LR: 0.009984 | Loss: 3.1754
[Iter 1310/1487] LR: 0.009984 | Loss: 2.6259
[Iter 1320/1487] LR: 0.009983 | Loss: 4.4677
[Iter 1330/1487] LR: 0.009983 | Loss: 3.6848
[Iter 1340/1487] LR: 0.009983 | Loss: 2.2823
[Iter 1350/1487] LR: 0.009983 | Loss: 5.4884
[Iter 1360/1487] LR: 0.009983 | Loss: 4.3177
[Iter 1370/1487] LR: 0.009983 | Loss: 1.5978
[Iter 1380/1487] LR: 0.009983 | Loss: 1.4666
[Iter 1390/1487] LR: 0.009983 | Loss: 2.1290
[Iter 1400/1487] LR: 0.009982 | Loss: 4.0011
[Iter 1410/1487] LR: 0.009982 | Loss: 4.4758
[Iter 1420/1487] LR: 0.009982 | Loss: 3.3904
[Iter 1430/1487] LR: 0.009982 | Loss: 3.0984
[Iter 1440/1487] LR: 0.009982 | Loss: 2.7515
[Iter 1450/1487] LR: 0.009982 | Loss: 5.2139
[Iter 1460/1487] LR: 0.009982 | Loss: 2.7293
[Iter 1470/1487] LR: 0.009982 | Loss: 1.9380
[Iter 1480/1487] LR: 0.009981 | Loss: 2.3123

--- Epoch 2/20 ---
[Iter 0/1487] LR: 0.009981 | Loss: 1.7177
[Iter 10/1487] LR: 0.009981 | Loss: 3.4560
[Iter 20/1487] LR: 0.009981 | Loss: 2.3221
[Iter 30/1487] LR: 0.009981 | Loss: 3.0562
[Iter 40/1487] LR: 0.009981 | Loss: 2.1132
[Iter 50/1487] LR: 0.009981 | Loss: 5.6432
[Iter 60/1487] LR: 0.009981 | Loss: 2.8026
[Iter 70/1487] LR: 0.009981 | Loss: 1.2304
[Iter 80/1487] LR: 0.009980 | Loss: 3.5724
[Iter 90/1487] LR: 0.009980 | Loss: 1.9796
[Iter 100/1487] LR: 0.009980 | Loss: 2.8281
[Iter 110/1487] LR: 0.009980 | Loss: 3.2524
[Iter 120/1487] LR: 0.009980 | Loss: 2.5049
[Iter 130/1487] LR: 0.009980 | Loss: 3.3883
[Iter 140/1487] LR: 0.009980 | Loss: 3.0862
[Iter 150/1487] LR: 0.009980 | Loss: 3.4473
[Iter 160/1487] LR: 0.009979 | Loss: 3.0776
[Iter 170/1487] LR: 0.009979 | Loss: 4.2999
[Iter 180/1487] LR: 0.009979 | Loss: 4.5790
[Iter 190/1487] LR: 0.009979 | Loss: 3.0141
[Iter 200/1487] LR: 0.009979 | Loss: 3.6265
[Iter 210/1487] LR: 0.009979 | Loss: 4.9149
[Iter 220/1487] LR: 0.009979 | Loss: 3.3031
[Iter 230/1487] LR: 0.009979 | Loss: 1.6935
[Iter 240/1487] LR: 0.009978 | Loss: 5.2646
[Iter 250/1487] LR: 0.009978 | Loss: 2.2265
[Iter 260/1487] LR: 0.009978 | Loss: 1.7769
[Iter 270/1487] LR: 0.009978 | Loss: 2.7296
[Iter 280/1487] LR: 0.009978 | Loss: 2.2814
[Iter 290/1487] LR: 0.009978 | Loss: 2.8556
[Iter 300/1487] LR: 0.009978 | Loss: 3.3017
[Iter 310/1487] LR: 0.009978 | Loss: 4.5146
[Iter 320/1487] LR: 0.009977 | Loss: 3.5945
[Iter 330/1487] LR: 0.009977 | Loss: 4.5245
[Iter 340/1487] LR: 0.009977 | Loss: 2.9925
[Iter 350/1487] LR: 0.009977 | Loss: 1.6639
[Iter 360/1487] LR: 0.009977 | Loss: 2.3671
[Iter 370/1487] LR: 0.009977 | Loss: 1.7131
[Iter 380/1487] LR: 0.009977 | Loss: 2.6798
[Iter 390/1487] LR: 0.009977 | Loss: 3.7230
[Iter 400/1487] LR: 0.009976 | Loss: 2.6286
[Iter 410/1487] LR: 0.009976 | Loss: 6.9861
[Iter 420/1487] LR: 0.009976 | Loss: 3.3447
[Iter 430/1487] LR: 0.009976 | Loss: 2.6264
[Iter 440/1487] LR: 0.009976 | Loss: 3.6178
[Iter 450/1487] LR: 0.009976 | Loss: 3.8791
[Iter 460/1487] LR: 0.009976 | Loss: 3.5065
[Iter 470/1487] LR: 0.009976 | Loss: 3.2525
[Iter 480/1487] LR: 0.009975 | Loss: 3.1952
[Iter 490/1487] LR: 0.009975 | Loss: 6.0983
[Iter 500/1487] LR: 0.009975 | Loss: 2.4250
[Iter 510/1487] LR: 0.009975 | Loss: 5.7394
[Iter 520/1487] LR: 0.009975 | Loss: 3.7465
[Iter 530/1487] LR: 0.009975 | Loss: 2.5771
[Iter 540/1487] LR: 0.009975 | Loss: 2.6083
[Iter 550/1487] LR: 0.009975 | Loss: 3.4649
[Iter 560/1487] LR: 0.009974 | Loss: 4.0619
[Iter 570/1487] LR: 0.009974 | Loss: 4.5534
[Iter 580/1487] LR: 0.009974 | Loss: 3.7066
[Iter 590/1487] LR: 0.009974 | Loss: 1.6874
[Iter 600/1487] LR: 0.009974 | Loss: 4.7665
[Iter 610/1487] LR: 0.009974 | Loss: 4.1820
[Iter 620/1487] LR: 0.009974 | Loss: 5.7179
[Iter 630/1487] LR: 0.009974 | Loss: 2.5446
[Iter 640/1487] LR: 0.009973 | Loss: 3.7328
[Iter 650/1487] LR: 0.009973 | Loss: 4.1051
[Iter 660/1487] LR: 0.009973 | Loss: 1.8886
[Iter 670/1487] LR: 0.009973 | Loss: 3.5213
[Iter 680/1487] LR: 0.009973 | Loss: 1.5453
[Iter 690/1487] LR: 0.009973 | Loss: 3.5081
[Iter 700/1487] LR: 0.009973 | Loss: 2.2843
[Iter 710/1487] LR: 0.009973 | Loss: 1.9286
[Iter 720/1487] LR: 0.009972 | Loss: 3.1631
[Iter 730/1487] LR: 0.009972 | Loss: 2.7887
[Iter 740/1487] LR: 0.009972 | Loss: 7.3640
[Iter 750/1487] LR: 0.009972 | Loss: 3.4571
[Iter 760/1487] LR: 0.009972 | Loss: 3.8008
[Iter 770/1487] LR: 0.009972 | Loss: 1.2613
[Iter 780/1487] LR: 0.009972 | Loss: 3.8181
[Iter 790/1487] LR: 0.009972 | Loss: 1.7570
[Iter 800/1487] LR: 0.009971 | Loss: 3.6314
[Iter 810/1487] LR: 0.009971 | Loss: 2.6400
[Iter 820/1487] LR: 0.009971 | Loss: 4.5723
[Iter 830/1487] LR: 0.009971 | Loss: 2.8530
[Iter 840/1487] LR: 0.009971 | Loss: 3.7943
[Iter 850/1487] LR: 0.009971 | Loss: 3.2983
[Iter 860/1487] LR: 0.009971 | Loss: 2.6543
[Iter 870/1487] LR: 0.009971 | Loss: 4.1379
[Iter 880/1487] LR: 0.009970 | Loss: 5.4736
[Iter 890/1487] LR: 0.009970 | Loss: 2.3508
[Iter 900/1487] LR: 0.009970 | Loss: 3.5895
[Iter 910/1487] LR: 0.009970 | Loss: 6.4840
[Iter 920/1487] LR: 0.009970 | Loss: 1.6458
[Iter 930/1487] LR: 0.009970 | Loss: 2.6300
[Iter 940/1487] LR: 0.009970 | Loss: 3.9304
[Iter 950/1487] LR: 0.009970 | Loss: 1.7704
[Iter 960/1487] LR: 0.009969 | Loss: 4.0645
[Iter 970/1487] LR: 0.009969 | Loss: 4.4543
[Iter 980/1487] LR: 0.009969 | Loss: 3.4418
[Iter 990/1487] LR: 0.009969 | Loss: 6.9644
[Iter 1000/1487] LR: 0.009969 | Loss: 2.5291
[Iter 1010/1487] LR: 0.009969 | Loss: 1.5962
[Iter 1020/1487] LR: 0.009969 | Loss: 2.8614
[Iter 1030/1487] LR: 0.009969 | Loss: 3.0779
[Iter 1040/1487] LR: 0.009968 | Loss: 2.8406
[Iter 1050/1487] LR: 0.009968 | Loss: 6.4015
[Iter 1060/1487] LR: 0.009968 | Loss: 1.9135
[Iter 1070/1487] LR: 0.009968 | Loss: 2.7806
[Iter 1080/1487] LR: 0.009968 | Loss: 5.4515
[Iter 1090/1487] LR: 0.009968 | Loss: 4.7186
[Iter 1100/1487] LR: 0.009968 | Loss: 4.3966
[Iter 1110/1487] LR: 0.009968 | Loss: 2.6527
[Iter 1120/1487] LR: 0.009967 | Loss: 1.0295
[Iter 1130/1487] LR: 0.009967 | Loss: 2.8501
[Iter 1140/1487] LR: 0.009967 | Loss: 3.3034
