frame_idx,timestamp_s,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,yaw_rate_dps,speed_mps,speed_kmh,gps_lat,gps_lon,roll_unc_deg,pitch_unc_deg
65,2.2018333333332976,-0.126,0.256,-0.125,0.212,-0.6,8.776,31.59,17.4390366,78.3765542,0.429,0.688
66,2.235200000000077,-0.148,0.259,-0.092,0.348,-0.361,8.753,31.51,17.43903847,78.37655611,0.429,0.688
67,2.2685666666666293,-0.124,0.188,0.122,-1.923,0.105,8.73,31.43,17.43904034,78.37655801,0.429,0.688
68,2.301933333333409,-0.05,0.189,0.22,0.236,0.702,8.709,31.35,17.43904221,78.37655991,0.429,0.689
69,2.335299999999961,-0.067,0.211,-0.135,0.895,-0.197,8.714,31.37,17.43904415,78.37656185,0.429,0.689
70,2.3686666666667406,-0.067,0.203,-0.028,-0.013,-0.055,8.719,31.39,17.43904608,78.37656378,0.429,0.689
71,2.402033333333293,-0.025,0.188,0.118,-0.248,0.404,8.72,31.39,17.43904801,78.37656572,0.429,0.689
72,2.4354000000000724,-0.033,0.179,-0.088,-0.09,-0.078,8.678,31.24,17.43904985,78.37656762,0.429,0.689
73,2.4687666666666246,-0.021,0.15,-0.008,-0.685,0.128,8.636,31.09,17.43905168,78.37656952,0.428,0.689
74,2.502133333333404,-0.055,0.175,-0.187,0.938,-0.364,8.596,30.95,17.43905352,78.37657142,0.428,0.689
75,2.5354999999999563,-0.079,0.208,-0.134,1.238,-0.299,8.603,30.97,17.43905542,78.37657329,0.428,0.689
76,2.568866666666736,-0.108,0.193,-0.103,-0.242,-0.389,8.61,31.0,17.43905733,78.37657516,0.428,0.689
77,2.602233333333288,-0.103,0.169,0.015,-0.522,-0.052,8.615,31.01,17.43905923,78.37657703,0.428,0.689
78,2.635600000000068,-0.075,0.142,0.1,-0.624,0.204,8.601,30.97,17.43906109,78.37657893,0.428,0.689
79,2.66896666666662,-0.056,0.153,0.012,0.497,0.159,8.588,30.92,17.43906296,78.37658083,0.428,0.689
80,2.7023333333333994,-0.075,0.161,-0.067,0.424,-0.256,8.572,30.86,17.43906483,78.37658273,0.428,0.69
81,2.735699999999952,-0.085,0.147,-0.055,-0.223,-0.175,8.535,30.73,17.43906666,78.37658456,0.428,0.69
82,2.769066666666731,-0.1,0.14,-0.11,-0.058,-0.229,8.498,30.59,17.4390685,78.3765864,0.428,0.69
83,2.802433333333284,-0.083,0.111,0.026,-0.711,0.098,8.462,30.46,17.43907033,78.37658823,0.428,0.69
84,2.835800000000063,-0.059,0.121,-0.023,0.46,0.236,8.442,30.39,17.43907217,78.37659007,0.428,0.69
85,2.869166666666615,-0.022,0.187,-0.022,2.175,0.423,8.422,30.32,17.439074,78.3765919,0.428,0.69
86,2.9025333333333947,-0.04,0.199,-0.073,0.597,-0.224,8.4,30.24,17.43907584,78.37659373,0.428,0.69
87,2.935899999999947,-0.035,0.166,0.01,-0.788,0.033,8.366,30.12,17.43907771,78.3765955,0.428,0.69
88,2.9692666666667265,-0.018,0.14,0.048,-0.584,0.165,8.331,29.99,17.43907958,78.37659727,0.428,0.69
89,3.002633333333278,-0.004,0.148,0.016,0.413,0.162,8.296,29.87,17.43908144,78.37659904,0.428,0.69
90,3.036000000000058,-0.001,0.186,0.001,1.36,0.053,8.264,29.75,17.43908321,78.37660088,0.428,0.69
91,3.0693666666666104,0.011,0.182,0.042,0.095,0.145,8.232,29.63,17.43908498,78.37660272,0.428,0.69
92,3.10273333333339,0.018,0.158,0.074,-0.511,0.077,8.201,29.52,17.43908675,78.37660454,0.428,0.69
93,3.136099999999942,0.038,0.155,0.061,0.108,0.272,8.185,29.47,17.43908855,78.37660628,0.428,0.69
94,3.1694666666667217,0.038,0.165,-0.035,0.502,0.068,8.17,29.41,17.43909035,78.37660801,0.428,0.69
95,3.202833333333274,0.029,0.194,-0.042,1.117,-0.052,8.153,29.35,17.43909215,78.37660975,0.428,0.689
96,3.236200000000053,0.015,0.21,-0.01,0.735,-0.132,8.117,29.22,17.43909395,78.37661148,0.428,0.689
97,3.2695666666666057,0.01,0.192,0.04,-0.313,-0.059,8.081,29.09,17.43909576,78.37661322,0.427,0.689
98,3.302933333333385,0.031,0.18,0.058,-0.125,0.279,8.044,28.96,17.43909755,78.37661495,0.427,0.689
99,3.336299999999937,0.048,0.198,0.151,0.788,0.218,8.002,28.81,17.43909929,78.37661665,0.427,0.689
100,3.369666666666717,0.036,0.16,0.007,-0.952,-0.102,7.959,28.65,17.43910102,78.37661835,0.427,0.689
101,3.403033333333269,0.001,0.162,-0.077,0.294,-0.389,7.918,28.51,17.43910276,78.37662006,0.427,0.689
102,3.4364000000000487,-0.013,0.177,0.016,0.673,-0.186,7.901,28.44,17.43910449,78.37662179,0.427,0.689
103,3.469766666666601,-0.013,0.144,0.06,-0.811,-0.025,7.884,28.38,17.43910623,78.37662353,0.427,0.689
104,3.5031333333333805,-0.025,0.153,-0.085,0.49,-0.144,7.864,28.31,17.43910796,78.37662526,0.427,0.689
105,3.5364999999999327,-0.046,0.156,-0.047,0.28,-0.288,7.817,28.14,17.43910966,78.37662692,0.427,0.689
106,3.5698666666667123,-0.107,0.15,-0.194,0.043,-0.802,7.771,27.98,17.43911136,78.37662859,0.427,0.689
107,3.603233333333265,-0.144,0.115,-0.125,-0.884,-0.588,7.724,27.8,17.43911306,78.37663026,0.427,0.688
108,3.636600000000044,-0.169,0.086,-0.094,-0.742,-0.475,7.668,27.6,17.43911473,78.37663186,0.427,0.688
109,3.669966666666596,-0.138,0.057,0.039,-0.742,0.23,7.612,27.4,17.4391164,78.37663346,0.427,0.688
110,3.703333333333376,-0.151,0.042,-0.102,-0.352,-0.31,7.561,27.22,17.43911807,78.37663506,0.427,0.688
111,3.736699999999928,-0.145,0.035,0.054,-0.123,-0.118,7.555,27.2,17.43911977,78.37663662,0.427,0.688
112,3.770066666666708,-0.132,0.023,-0.024,-0.287,0.03,7.549,27.18,17.43912147,78.37663819,0.427,0.688
113,3.80343333333326,-0.066,0.03,0.135,0.317,0.723,7.538,27.14,17.43912318,78.37663976,0.427,0.688
114,3.8368000000000393,-0.014,0.067,0.11,1.223,0.627,7.494,26.98,17.43912488,78.37664129,0.427,0.687
115,3.870166666666592,-0.011,0.061,0.04,-0.04,0.012,7.45,26.82,17.43912658,78.37664283,0.427,0.687
116,3.903533333333371,0.003,0.038,0.133,-0.602,0.151,7.404,26.66,17.43912827,78.37664436,0.427,0.687
117,3.9368999999999232,0.035,0.036,0.146,0.042,0.416,7.349,26.46,17.43912987,78.3766459,0.427,0.687
118,3.970266666666703,0.044,0.038,0.0,0.156,0.192,7.294,26.26,17.43913147,78.37664743,0.427,0.687
119,4.003633333333255,0.049,0.049,0.017,0.434,0.126,7.241,26.07,17.43913307,78.37664896,0.427,0.687
120,4.037000000000035,0.061,0.046,0.087,0.02,0.218,7.201,25.92,17.43913468,78.37665046,0.427,0.686
121,4.070366666666587,0.075,0.024,0.167,-0.591,0.233,7.161,25.78,17.43913628,78.37665197,0.427,0.686
122,4.103733333333366,0.065,0.01,0.061,-0.336,-0.072,7.12,25.63,17.43913788,78.37665346,0.427,0.686
123,4.137099999999919,0.061,-0.024,0.068,-0.981,0.006,7.078,25.48,17.43913948,78.37665486,0.427,0.686
124,4.170466666666698,0.081,-0.039,0.141,-0.428,0.325,7.036,25.33,17.43914108,78.37665626,0.427,0.686
125,4.20383333333325,0.105,0.006,0.12,1.397,0.436,6.991,25.17,17.43914268,78.37665766,0.427,0.686
126,4.23720000000003,0.104,0.041,0.081,1.168,0.102,6.93,24.95,17.43914421,78.3766591,0.426,0.685
127,4.270566666666582,0.09,0.033,0.04,-0.151,-0.083,6.869,24.73,17.43914575,78.37666053,0.426,0.685
128,4.303933333333362,0.078,0.038,0.036,0.261,-0.076,6.816,24.54,17.43914728,78.37666197,0.426,0.685
129,4.337299999999914,0.069,0.003,0.104,-0.998,-0.061,6.824,24.56,17.43914885,78.37666337,0.426,0.685
130,4.370666666666693,0.065,-0.019,0.082,-0.628,0.002,6.831,24.59,17.43915042,78.37666477,0.426,0.685
131,4.4040333333332455,0.084,-0.027,0.142,-0.194,0.336,6.828,24.58,17.43915201,78.37666618,0.426,0.684
132,4.437400000000025,0.084,-0.04,0.059,-0.35,0.106,6.747,24.29,17.43915371,78.37666766,0.426,0.684
133,4.470766666666577,0.073,-0.049,0.042,-0.281,-0.074,6.665,23.99,17.43915542,78.37666915,0.426,0.684
134,4.504133333333357,0.088,-0.05,0.103,-0.013,0.316,6.591,23.73,17.43915709,78.37667061,0.426,0.684
135,4.537499999999909,0.086,-0.049,0.0,0.06,0.101,6.527,23.5,17.43915872,78.37667206,0.426,0.684
136,4.570866666666689,0.099,-0.033,0.064,0.491,0.329,6.463,23.27,17.43916035,78.3766735,0.426,0.683
137,4.604233333333241,0.099,-0.023,-0.005,0.357,0.159,6.437,23.17,17.43916198,78.37667498,0.426,0.683
138,4.63760000000002,0.088,-0.017,-0.032,0.225,-0.008,6.424,23.13,17.43916362,78.37667646,0.426,0.683
139,4.670966666666573,0.096,-0.024,0.029,-0.17,0.264,6.41,23.08,17.43916525,78.37667794,0.426,0.683
140,4.704333333333352,0.094,-0.006,0.013,0.59,0.118,6.348,22.85,17.4391668,78.37667935,0.426,0.683
141,4.737699999999904,0.103,-0.003,0.132,0.124,0.241,6.286,22.63,17.43916836,78.37668076,0.426,0.682
142,4.771066666666911,0.098,0.006,0.034,0.361,0.071,6.234,22.44,17.43916994,78.37668214,0.426,0.682
143,4.804433333333691,0.089,0.023,-0.031,0.585,0.009,6.205,22.34,17.43917157,78.37668348,0.426,0.682
144,4.837800000000016,0.065,0.014,-0.035,-0.197,-0.246,6.175,22.23,17.4391732,78.37668481,0.426,0.682
145,4.871166666666795,0.042,-0.001,-0.088,-0.38,-0.247,6.134,22.08,17.43917476,78.37668617,0.426,0.681
146,4.90453333333312,0.03,-0.01,0.004,-0.221,-0.13,6.086,21.91,17.43917628,78.37668754,0.426,0.681
147,4.9378999999999,0.018,-0.019,0.016,-0.229,-0.161,6.039,21.74,17.4391778,78.37668891,0.426,0.681
148,4.9712666666669065,-0.014,-0.05,-0.062,-0.913,-0.492,6.027,21.7,17.43917939,78.37669025,0.426,0.681
149,5.004633333333686,-0.031,-0.069,0.009,-0.601,-0.327,6.017,21.66,17.43918099,78.37669159,0.426,0.681
150,5.038000000000011,-0.043,-0.091,0.071,-0.667,-0.297,6.001,21.6,17.43918257,78.3766929,0.426,0.68
151,5.071366666666791,-0.035,-0.107,0.156,-0.515,0.006,5.963,21.47,17.43918413,78.37669416,0.426,0.68
152,5.104733333333115,-0.035,-0.109,0.04,-0.134,-0.056,5.925,21.33,17.43918569,78.37669542,0.426,0.68
153,5.138099999999895,-0.015,-0.101,0.088,0.221,0.276,5.883,21.18,17.43918722,78.37669666,0.426,0.68
154,5.171466666666902,-0.004,-0.096,0.063,0.1,0.165,5.838,21.02,17.43918874,78.37669789,0.426,0.68
155,5.204833333333681,0.017,-0.087,0.109,0.251,0.336,5.793,20.85,17.43919026,78.37669911,0.426,0.679
156,5.238200000000006,0.035,-0.065,0.154,0.668,0.299,5.766,20.76,17.43919182,78.37670033,0.426,0.679
157,5.271566666666786,0.04,-0.03,0.102,1.067,0.107,5.742,20.67,17.43919337,78.37670156,0.426,0.679
158,5.304933333333111,0.029,-0.016,0.04,0.452,-0.161,5.723,20.6,17.43919489,78.37670275,0.426,0.679
159,5.33829999999989,0.011,-0.039,0.071,-0.645,-0.302,5.735,20.64,17.4391962,78.37670375,0.426,0.679
160,5.371666666666897,0.024,-0.046,0.203,-0.206,0.164,5.746,20.69,17.4391975,78.37670475,0.426,0.678
161,5.405033333333449,0.051,-0.049,0.297,-0.079,0.386,5.758,20.73,17.43919881,78.37670575,0.426,0.678
162,5.4384000000000015,0.059,-0.019,0.184,0.94,0.146,5.721,20.6,17.43920006,78.37670665,0.426,0.678
163,5.471766666666781,0.061,-0.04,0.297,-0.632,-0.022,5.676,20.43,17.4392013,78.37670753,0.426,0.678
164,5.505133333333106,0.086,-0.049,0.358,-0.264,0.402,5.63,20.27,17.43920255,78.37670841,0.425,0.677
165,5.538500000000113,0.1,-0.03,0.273,0.597,0.279,5.62,20.23,17.43920381,78.3767093,0.425,0.677
166,5.571866666666892,0.118,-0.003,0.281,0.881,0.362,5.639,20.3,17.43920508,78.37671021,0.425,0.677
167,5.6052333333334445,0.103,-0.025,0.173,-0.627,-0.179,5.658,20.37,17.43920635,78.37671112,0.425,0.677
168,5.638599999999997,0.107,-0.049,0.294,-0.711,0.112,5.667,20.4,17.43920764,78.37671202,0.425,0.677
169,5.671966666666776,0.104,-0.048,0.159,0.04,0.041,5.648,20.33,17.43920898,78.37671287,0.425,0.676
170,5.705333333333101,0.093,-0.024,0.107,0.749,-0.081,5.63,20.27,17.43921031,78.37671372,0.425,0.676
171,5.738700000000108,0.08,-0.016,0.123,0.271,-0.146,5.611,20.2,17.43921165,78.37671457,0.425,0.676
172,5.772066666666888,0.07,-0.056,0.167,-1.18,-0.129,5.586,20.11,17.4392129,78.37671545,0.425,0.676
173,5.80543333333344,0.106,-0.067,0.384,-0.345,0.621,5.561,20.02,17.43921414,78.37671633,0.425,0.676
174,5.838799999999992,0.089,-0.021,0.032,1.421,-0.158,5.536,19.93,17.43921538,78.3767172,0.425,0.675
175,5.872166666666772,0.041,-0.031,-0.013,-0.273,-0.751,5.533,19.92,17.43921667,78.37671804,0.425,0.675
176,5.905533333333096,0.013,-0.054,0.052,-0.715,-0.487,5.541,19.95,17.43921797,78.37671886,0.425,0.675
177,5.938900000000103,-0.005,-0.053,0.003,0.039,-0.32,5.548,19.97,17.43921928,78.37671968,0.425,0.675
178,5.972266666666883,-0.016,-0.085,0.071,-0.966,-0.24,5.551,19.98,17.43922057,78.37672052,0.425,0.675
179,6.005633333333435,-0.031,-0.067,-0.063,0.527,-0.256,5.546,19.96,17.43922184,78.3767214,0.425,0.674
180,6.038999999999987,-0.054,-0.045,-0.147,0.658,-0.402,5.54,19.94,17.43922312,78.37672228,0.425,0.674
181,6.072366666666767,-0.069,-0.034,-0.094,0.359,-0.305,5.535,19.93,17.43922439,78.37672316,0.425,0.674
182,6.105733333333092,-0.07,-0.032,0.051,0.077,-0.152,5.539,19.94,17.4392257,78.37672401,0.425,0.674
183,6.139100000000099,-0.066,-0.061,0.046,-0.863,-0.033,5.543,19.96,17.439227,78.37672486,0.425,0.674
184,6.172466666666878,-0.049,-0.079,0.104,-0.558,0.181,5.547,19.97,17.43922831,78.37672571,0.425,0.673
185,6.20583333333343,-0.02,-0.071,0.165,0.225,0.402,5.558,20.01,17.43922959,78.37672658,0.425,0.673
186,6.239199999999983,-0.035,-0.033,-0.041,1.156,-0.272,5.57,20.05,17.43923086,78.37672746,0.425,0.673
187,6.272566666666762,-0.047,-0.042,0.067,-0.274,-0.315,5.583,20.1,17.43923213,78.37672834,0.425,0.673
188,6.305933333333087,-0.057,-0.056,0.071,-0.406,-0.3,5.581,20.09,17.43923342,78.37672916,0.425,0.673
189,6.339300000000094,-0.061,-0.065,0.047,-0.288,-0.185,5.565,20.03,17.43923473,78.37672992,0.425,0.673
190,6.372666666666646,-0.037,-0.112,0.196,-1.46,0.285,5.548,19.97,17.43923603,78.37673068,0.425,0.672
191,6.406033333333426,-0.034,-0.068,0.047,1.318,-0.021,5.539,19.94,17.43923737,78.37673146,0.425,0.672
192,6.439399999999978,-0.042,-0.061,0.058,0.196,-0.221,5.563,20.03,17.43923887,78.37673232,0.425,0.672
193,6.472766666666757,-0.054,-0.058,0.027,0.067,-0.291,5.587,20.11,17.43924037,78.37673319,0.425,0.672
194,6.50613333333331,-0.048,-0.066,0.104,-0.251,-0.017,5.598,20.15,17.43924186,78.37673406,0.425,0.672
195,6.539500000000089,-0.032,-0.05,0.087,0.486,0.204,5.549,19.98,17.43924326,78.37673493,0.425,0.671
196,6.572866666666641,-0.009,-0.041,0.159,0.29,0.313,5.5,19.8,17.43924466,78.37673579,0.425,0.671
197,6.606233333333421,0.015,-0.046,0.217,-0.147,0.369,5.47,19.69,17.43924609,78.37673666,0.425,0.671
198,6.639599999999973,0.019,-0.034,0.066,0.386,0.078,5.526,19.89,17.43924762,78.37673753,0.425,0.671
199,6.672966666666753,0.02,-0.026,0.044,0.265,0.046,5.581,20.09,17.43924916,78.3767384,0.425,0.671
200,6.706333333333305,0.02,-0.053,0.1,-0.811,0.005,5.619,20.23,17.43925067,78.37673925,0.425,0.67
201,6.739700000000084,0.03,-0.067,0.184,-0.453,0.145,5.581,20.09,17.43925211,78.37674005,0.425,0.67
202,6.773066666666637,0.024,-0.059,0.059,0.244,-0.076,5.543,19.95,17.43925354,78.37674085,0.425,0.67
203,6.806433333333416,0.014,-0.044,0.034,0.445,-0.152,5.516,19.86,17.43925499,78.37674166,0.425,0.67
204,6.839799999999968,0.009,-0.056,0.087,-0.338,-0.098,5.539,19.94,17.43925649,78.3767425,0.425,0.67
205,6.873166666666748,-0.002,-0.05,0.06,0.165,-0.211,5.562,20.02,17.43925799,78.37674333,0.425,0.67
206,6.9065333333333,-0.008,-0.026,0.043,0.761,-0.132,5.565,20.04,17.43925947,78.37674415,0.425,0.669
207,6.93990000000008,-0.016,-0.041,0.079,-0.439,-0.194,5.491,19.77,17.43926088,78.37674492,0.425,0.669
208,6.973266666666632,-0.034,-0.041,-0.007,-0.013,-0.36,5.416,19.5,17.43926228,78.37674569,0.425,0.669
209,7.006633333333411,-0.047,-0.046,-0.006,-0.149,-0.297,5.363,19.31,17.4392637,78.37674645,0.425,0.669
210,7.039999999999964,-0.029,-0.058,0.132,-0.361,0.233,5.399,19.44,17.4392652,78.37674722,0.425,0.669
211,7.073366666666743,-0.038,-0.019,-0.086,1.209,-0.153,5.435,19.57,17.4392667,78.37674799,0.425,0.669
212,7.106733333333295,-0.045,0.004,-0.038,0.73,-0.16,5.463,19.67,17.43926819,78.37674876,0.425,0.668
213,7.140100000000075,-0.043,-0.026,0.052,-0.88,-0.043,5.458,19.65,17.43926962,78.37674956,0.425,0.668
214,7.173466666666627,-0.026,-0.039,0.093,-0.369,0.231,5.452,19.63,17.43927106,78.37675036,0.425,0.668
215,7.206833333333407,-0.025,-0.026,-0.01,0.402,0.008,5.441,19.59,17.43927249,78.37675116,0.425,0.668
216,7.240199999999959,-0.043,-0.026,-0.113,0.022,-0.324,5.405,19.46,17.43927389,78.37675196,0.424,0.668
217,7.273566666666738,-0.051,-0.054,-0.022,-0.833,-0.189,5.369,19.33,17.43927529,78.37675277,0.424,0.668
218,7.306933333333291,-0.031,-0.069,0.091,-0.466,0.283,5.348,19.25,17.43927671,78.37675355,0.424,0.667
219,7.34030000000007,-0.008,-0.035,0.034,1.034,0.405,5.38,19.37,17.43927817,78.37675429,0.424,0.667
220,7.373666666666622,0.007,-0.029,0.031,0.19,0.289,5.412,19.48,17.43927964,78.37675502,0.424,0.667
221,7.407033333333402,0.012,-0.037,0.018,-0.22,0.132,5.433,19.56,17.4392811,78.37675577,0.424,0.667
222,7.440399999999954,0.025,-0.033,0.121,0.125,0.223,5.412,19.48,17.43928254,78.37675657,0.424,0.667
223,7.473766666666734,0.034,-0.042,0.047,-0.259,0.226,5.391,19.41,17.43928397,78.37675737,0.424,0.667
224,7.507133333333286,0.037,-0.082,0.024,-1.232,0.132,5.372,19.34,17.4392854,78.37675816,0.424,0.667
225,7.5405000000000655,0.08,-0.061,0.235,0.619,0.828,5.356,19.28,17.4392868,78.37675893,0.424,0.666
